testset,accuracy,avg precision
ADM,75.52499999999999,93.70707067673916
DALLE2,97.15,99.54917985190318
Glide,95.35833333333333,99.03329068250886
Midjourney,91.49166666666667,98.98738827748251
VQDM,90.85833333333333,97.80285678702107
biggan,87.52499999999999,94.30200662366315
cyclegan,96.7448902346707,99.59897208885971
gaugan,86.13,91.45867507654133
progan,99.8125,99.9927918452842
sd_xl,99.55000000000001,99.96443387935932
stable_diffusion_v_1_4,98.93333333333332,99.91515102847983
stable_diffusion_v_1_5,98.81875,99.88293204701151
stargan,99.97498749374687,100.0
stylegan,98.6145885494909,99.94421225118529
stylegan2,98.90460691036554,99.98326348630322
whichfaceisreal,51.800000000000004,54.72259143751972
wukong,96.7,99.51852917895854
mean,91.99364646205534,95.78607913051886
