./checkpoint/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,66.00833333333334,74.00729371296309
DALLE2,67.45,81.24396869464132
Glide,86.06666666666666,94.58719852411772
Midjourney,80.48333333333333,88.56694229835784
VQDM,81.41666666666667,89.02344205812864
biggan,87.52499999999999,94.30200662366315
cyclegan,96.7448902346707,99.59897208885971
gaugan,86.13,91.45867507654133
progan,99.8125,99.9927918452842
sd_xl,79.825,91.82053877285229
stable_diffusion_v_1_4,88.54166666666666,95.7499705680959
stable_diffusion_v_1_5,88.63125,96.24611235826467
stargan,99.97498749374687,100.0
stylegan,99.24052745785345,99.96975340198583
stylegan2,98.9672008012018,99.98465558113617
whichfaceisreal,61.050000000000004,71.47055296470712
wukong,87.14166666666667,94.3021161656368
mean,85.58880525416507,91.90147004324916
