testset               , accuracy          , avg precision
ADM                   ,  82.25833333333334,  97.97686876482103
DALLE2                ,  95.45            ,  99.87554588834199
Glide                 ,  94.58333333333333,  99.51256529613303
Midjourney            ,  82.86666666666666,  98.81824100863714
VQDM                  ,  93.06666666666666,  99.54926965844683
biggan                ,  93.22500000000001,  97.7691389057183
cyclegan              ,  98.03179409538228,  99.93318010054382
gaugan                ,  89.55            ,  94.03963240795903
progan                ,  99.97500000000001,  99.99991894166823
sd_xl                 ,  98.775           ,  99.88173378528327
stable_diffusion_v_1_4,  99.2             ,  99.92471808584604
stable_diffusion_v_1_5,  99.15            ,  99.86381086308643
stargan               , 100.0             , 100.0
stylegan              ,  98.90669337339342,  99.98854742346458
stylegan2             ,  98.02203304957436,  99.9735353986701
whichfaceisreal       ,  50.1             ,  68.55013649521891
wukong                ,  98.18333333333334,  99.8540540087163
mean                  ,  92.4319914030402 ,  97.38299394309146
