./results/SAFE/20250428_184834/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,82.31666666666668,98.04211726762591
DALLE2,95.45,99.86308206463043
Glide,94.63333333333334,99.5031836293355
Midjourney,86.69166666666666,99.29219208715114
VQDM,93.18333333333332,99.61434558077882
biggan,93.22500000000001,97.7691389057183
cyclegan,98.03179409538228,99.93318010054382
gaugan,89.55,94.03963240795903
progan,99.97500000000001,99.99991894166823
sd_xl,99.225,99.99511179308116
stable_diffusion_v_1_4,99.38333333333334,99.97442623395487
stable_diffusion_v_1_5,99.23125,99.90620325540381
stargan,100.0,100.0
stylegan,98.84827240861291,99.98391010603692
stylegan2,98.0095142714071,99.97117648241958
whichfaceisreal,51.65,72.46213890356566
wukong,98.29166666666667,99.79853222602057
mean,92.80563710443546,97.6557817638761
