testset,accuracy,avg precision
ADM,92.06666666666666,99.0881083045271
DALLE2,96.2,99.4965793793101
Glide,97.24166666666667,99.62373910930286
Midjourney,81.10000000000001,96.26549568241734
VQDM,95.59166666666667,99.41436283265817
biggan,92.225,97.5078953608908
cyclegan,98.10749432248296,99.55609537312806
gaugan,86.3,92.5357859901061
progan,99.85000000000001,99.9991704988308
sd_xl,97.05,99.7632350754344
stable_diffusion_v_1_4,98.79166666666667,99.87049154091416
stable_diffusion_v_1_5,98.83125,99.8539272088748
stargan,99.89994997498749,100.0
stylegan,98.81488900016691,99.97689479823502
stylegan2,97.72784176264396,99.9822924448477
whichfaceisreal,48.1,42.2690849904537
wukong,98.29166666666667,99.75662167485
mean,92.71704461138908,95.58586942734007
