testset,accuracy,avg precision
biggan,92.225,97.5078953608908
crn,50.06267627702915,73.19981706658194
cyclegan,98.10749432248296,99.55609537312806
deepfake,61.79463459759482,98.27675857660478
gaugan,86.3,92.5357859901061
imle,50.06267627702915,54.793737901586816
progan,99.85000000000001,99.9991704988308
san,94.52054794520548,97.08855898947733
seeingdark,82.5,89.79359169840903
stargan,99.89994997498749,100.0
stylegan,98.81488900016691,99.97689479823502
stylegan2,97.72784176264396,99.9822924448477
whichfaceisreal,48.1,42.2690849904537
mean,81.53582385824153,88.07536028378091
