./results/SAFE/20250507_201330/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,92.15833333333333,99.11114899638126
DALLE2,96.15,99.4954883006424
Glide,97.29166666666667,99.67134072210597
Midjourney,81.18333333333332,96.53756507371902
VQDM,95.65,99.42040439860529
biggan,92.225,97.5078953608908
cyclegan,98.10749432248296,99.55609537312806
gaugan,86.3,92.5357859901061
progan,99.85000000000001,99.9991704988308
sd_xl,97.52499999999999,99.85838278145965
stable_diffusion_v_1_4,99.05833333333334,99.87387771067037
stable_diffusion_v_1_5,98.78125,99.83046187559506
stargan,99.89994997498749,100.0
stylegan,98.83158070438992,99.97704983413279
stylegan2,97.6902854281422,99.98210131562591
whichfaceisreal,48.8,45.221227936198275
wukong,98.35833333333333,99.78718990944964
mean,92.8153270841178,95.78618741632597
