./results/SAFE/20250507_201330/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
biggan,92.225,97.5078953608908
crn,50.109683484801,71.47211989302437
cyclegan,98.10749432248296,99.55609537312806
deepfake,61.90564292321924,98.23316778572895
gaugan,86.3,92.5357859901061
imle,50.109683484801,56.001453504263374
progan,99.85000000000001,99.9991704988308
san,94.97716894977168,99.04716511369685
seeingdark,75.83333333333333,89.52937305848208
stargan,99.89994997498749,100.0
stylegan,98.83158070438992,99.97704983413279
stylegan2,97.6902854281422,99.98210131562591
whichfaceisreal,48.8,45.221227936198275
mean,81.12614020045606,88.38943120493141
