./results/SAFE/20250428_205854/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,84.325,95.41058215448042
DALLE2,97.65,99.68046669645607
Glide,95.15833333333333,98.7359947634819
Midjourney,87.51666666666667,96.60422552977508
VQDM,90.45,97.69589398786786
biggan,82.35,90.62320090792338
cyclegan,88.79636638909916,98.09825088176571
gaugan,73.22999999999999,80.03592531695564
progan,99.8,99.99736221775713
sd_xl,97.575,99.65402432056236
stable_diffusion_v_1_4,97.675,99.73013971517217
stable_diffusion_v_1_5,97.78125,99.7136667211929
stargan,97.02351175587793,99.97204655282283
stylegan,97.35436488065432,99.907943769088
stylegan2,98.77941912869304,99.9847251474913
whichfaceisreal,52.2,62.42466987933282
wukong,96.24166666666667,99.29028132588601
mean,90.22979875417593,95.15055293458892
