testset,accuracy,avg precision
ADM,80.73333333333333,96.41768932515524
DALLE2,98.45,99.79620846371967
Glide,97.475,99.39453724211826
Midjourney,95.95,99.3511322586281
VQDM,95.38333333333333,99.32361835475828
biggan,87.8,94.30843238314097
cyclegan,98.10749432248296,99.5146549560326
gaugan,84.0,90.35548193476193
progan,99.925,99.99050977773824
sd_xl,99.825,99.99450807513729
stable_diffusion_v_1_4,99.38333333333334,99.76792245497617
stable_diffusion_v_1_5,99.28125,99.91538395138801
stargan,99.77488744372187,100.0
stylegan,97.94692038057086,99.94376695926577
stylegan2,99.17376064096143,99.98466639881354
whichfaceisreal,54.35,60.402495305972124
wukong,98.28333333333333,99.74262650217337
mean,93.28486153653355,96.36491966728114
