./results/SAFE/train_on_all_progan/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
ADM,84.78333333333333,96.48452301908674
DALLE2,96.0,99.59489360257498
Glide,93.44166666666666,98.7638950549258
Midjourney,90.99166666666667,98.98946908626816
VQDM,96.75833333333334,99.7322933533201
biggan,95.475,98.50127792396549
cyclegan,99.35654806964422,99.87557646659549
gaugan,93.55,97.89176812232807
progan,100.0,100.0
sd_xl,99.325,99.99586624876213
stable_diffusion_v_1_4,99.64166666666667,99.95320752987791
stable_diffusion_v_1_5,99.56875,99.95167323699938
stargan,99.97498749374687,100.0
stylegan,99.7746619929895,99.98140010269607
stylegan2,98.88582874311467,99.98071736959601
whichfaceisreal,51.1,74.69873186721068
wukong,99.175,99.92369056636073
mean,93.98837899800951,97.90111667944517
