./results/SAFE/train_on_all_progan/checkpoint-best.pth model testing on...
testset,accuracy,avg precision
biggan,95.475,98.50127792396549
crn,50.07834534628643,48.12785364113722
cyclegan,99.35654806964422,99.87557646659549
deepfake,53.32099907493062,91.73260811721865
gaugan,93.55,97.89176812232807
imle,50.07834534628643,65.81225130161161
progan,100.0,100.0
san,96.57534246575342,99.39254802813923
seeingdark,76.11111111111111,82.35337650794594
stargan,99.97498749374687,100.0
stylegan,99.7746619929895,99.98140010269607
stylegan2,98.88582874311467,99.98071736959601
whichfaceisreal,51.1,74.69873186721068
mean,81.86778228029718,89.10370072680341
